,showing_time
bc:3a:ea:17:e2:9a,23
98:0c:82:56:d2:c8,1
94:d7:71:e7:fc:d3,37
00:ee:bd:44:f9:93,11
f6:d0:10:85:43:1b,25
58:2a:f7:64:b7:c8,1
98:d6:bb:e3:5c:5d,14
c4:6a:b7:48:16:5c,5
74:51:ba:6c:ac:8f,17
f8:a4:5f:31:c6:cb,61
4c:7c:5f:4e:63:24,17
c4:6a:b7:51:2c:0e,17
c4:6a:b7:6d:29:b3,15
ac:f7:f3:a3:64:0f,27
bc:3b:af:64:8e:6b,13
c4:6a:b7:b9:de:26,4
f8:a4:5f:17:2c:f4,8
00:f4:b9:bb:af:43,15
74:51:ba:c0:2b:15,25
48:a2:2d:97:91:62,9
f8:27:93:d4:b9:14,1
a6:f6:c7:22:7e:c7,1
70:72:0d:f1:1c:37,1
68:df:dd:26:49:4b,1
48:6b:2c:ee:6e:60,1
48:6b:2c:b8:ec:b6,46
60:fa:cd:26:3c:13,29
a8:8e:24:11:7c:98,33
6c:25:b9:5c:75:e4,13
18:dc:56:a4:2f:d6,22
98:ff:d0:15:b8:d6,13
28:47:aa:b9:d0:3c,10
88:e3:ab:f0:13:5a,101
26:bc:03:c7:9a:ab,1
88:e3:ab:c4:43:7e,5
dc:37:14:2f:e5:af,15
9c:fc:01:40:1c:24,9
24:e3:14:00:1d:f4,12
9c:fc:01:3f:bf:6e,1
18:59:36:22:81:85,6
dc:37:14:e2:3d:30,9
9c:f3:87:41:af:6c,32
64:a3:cb:d3:b2:97,6
6c:3e:6d:01:96:22,2
84:78:8b:c3:7d:66,14
22:02:fa:e9:80:20,1
ec:89:f5:f4:ff:3a,6
18:59:36:7a:2a:4f,7
84:78:8b:c4:0a:51,26
ec:5a:86:8f:33:70,5
84:7a:88:39:bc:a4,2
20:a2:e4:2e:ed:db,65
6c:c2:6b:c1:55:85,17
64:b4:73:28:49:aa,8
28:5a:eb:84:ee:f5,23
8a:38:95:7a:d7:2c,1
28:5a:eb:99:19:2c,21
da:fb:a4:4a:c9:f2,1
a8:fa:d8:94:b2:5e,35
0c:d6:bd:2e:31:89,38
d8:55:a3:f9:72:ad,17
ee:f1:28:d1:8d:d0,1
2a:10:b3:83:0c:a8,1
28:e3:1f:c8:58:a2,3
8a:de:14:57:95:0d,1
16:e2:d0:9a:07:c6,1
18:00:2d:08:d9:f9,4
28:e3:1f:aa:32:43,2
a0:18:28:6c:f9:76,9
b0:ee:45:4c:6d:4d,3
6e:82:d0:25:71:7f,1
28:e3:1f:78:51:91,20
9e:f6:90:c2:5a:d7,1
28:e3:1f:75:ae:dd,23
84:38:35:77:7d:e7,4
aa:13:3c:51:2c:3f,1
9c:04:eb:2e:e2:5a,29
b2:7c:42:77:01:51,1
18:1e:b0:c1:eb:7d,30
5c:f7:c3:38:d5:e9,1
28:cf:e9:9a:87:32,9
da:c8:5f:5f:ef:a4,1
a0:18:28:01:b1:46,21
ec:5a:86:64:06:68,2
e0:19:1d:46:75:81,50
64:b4:73:32:a2:d2,7
88:30:8a:79:66:84,22
18:dc:56:1a:bb:bd,44
